date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:33	1366/1366	---MCZ	404	error ('Not%20Found')	text/html	etag:1748359414-ssl-df	https://fibroid-solutions.netlify.app/robots.txt		(from )
17:32:33	24690/24690	---MCZ	200	added ('OK')	text/html	etag:%223991d1e6b344860757bc565e863dc407-ssl-df%22	https://fibroid-solutions.netlify.app/?gad_source=1&gad_campaignid=22635596819&gclid=EAIaIQobChMI39eVjJjYjQMVzwUGAB3djB8aEAAYASAAEgJTIPD_BwE	C:/My%20Web%20Sites/FIBROCURE%20TAP/fibroid-solutions.netlify.app/indexa4c4.html	(from )
17:32:34	6766/6766	---M-Z	200	added ('OK')	text/css	etag:%2208b6e0cb23af5f016c10228f5fdcdd55-ssl-df%22	https://fibroid-solutions.netlify.app/style.css	C:/My%20Web%20Sites/FIBROCURE%20TAP/fibroid-solutions.netlify.app/style.css	(from https://fibroid-solutions.netlify.app/?gad_source=1&gad_campaignid=22635596819&gclid=EAIaIQobChMI39eVjJjYjQMVzwUGAB3djB8aEAAYASAAEgJTIPD_BwE)
17:32:36	515174/515174	---M--	200	added ('OK')	image/jpeg	etag:%2201621a9156bb989d7a31945748cd13d4-ssl%22	https://fibroid-solutions.netlify.app/img/fb.jpg	C:/My%20Web%20Sites/FIBROCURE%20TAP/fibroid-solutions.netlify.app/img/fb.jpg	(from https://fibroid-solutions.netlify.app/?gad_source=1&gad_campaignid=22635596819&gclid=EAIaIQobChMI39eVjJjYjQMVzwUGAB3djB8aEAAYASAAEgJTIPD_BwE)
17:32:36	11507/11507	---M--	200	added ('OK')	image/jpeg	etag:%22fd9ec9a9ffb7fdb2fa5d73518912b576-ssl%22	https://fibroid-solutions.netlify.app/img/fstat.jpg	C:/My%20Web%20Sites/FIBROCURE%20TAP/fibroid-solutions.netlify.app/img/fstat.jpg	(from https://fibroid-solutions.netlify.app/?gad_source=1&gad_campaignid=22635596819&gclid=EAIaIQobChMI39eVjJjYjQMVzwUGAB3djB8aEAAYASAAEgJTIPD_BwE)
17:32:37	57765/57765	---M--	200	added ('OK')	image/jpeg	etag:%223c25e37c3cbff39e6500ed47b6667228-ssl%22	https://fibroid-solutions.netlify.app/img/wfibroid.jpg	C:/My%20Web%20Sites/FIBROCURE%20TAP/fibroid-solutions.netlify.app/img/wfibroid.jpg	(from https://fibroid-solutions.netlify.app/?gad_source=1&gad_campaignid=22635596819&gclid=EAIaIQobChMI39eVjJjYjQMVzwUGAB3djB8aEAAYASAAEgJTIPD_BwE)
17:32:38	398772/398772	---M--	200	added ('OK')	image/jpeg	etag:%2200e767c7be9c899c64eed3a6eec5a598-ssl%22	https://fibroid-solutions.netlify.app/img/fibb.jpg	C:/My%20Web%20Sites/FIBROCURE%20TAP/fibroid-solutions.netlify.app/img/fibb.jpg	(from https://fibroid-solutions.netlify.app/?gad_source=1&gad_campaignid=22635596819&gclid=EAIaIQobChMI39eVjJjYjQMVzwUGAB3djB8aEAAYASAAEgJTIPD_BwE)
17:32:38	48448/48448	---M--	200	added ('OK')	image/webp	etag:%22606bdafb0582d6cd2531b239a6dfec88-ssl%22	https://fibroid-solutions.netlify.app/img/tes.webp	C:/My%20Web%20Sites/FIBROCURE%20TAP/fibroid-solutions.netlify.app/img/tes.webp	(from https://fibroid-solutions.netlify.app/?gad_source=1&gad_campaignid=22635596819&gclid=EAIaIQobChMI39eVjJjYjQMVzwUGAB3djB8aEAAYASAAEgJTIPD_BwE)
17:32:39	89734/89734	---M--	200	added ('OK')	image/webp	etag:%22d741d61a8e8181f2e0d73446ca81bcf8-ssl%22	https://fibroid-solutions.netlify.app/img/test.webp	C:/My%20Web%20Sites/FIBROCURE%20TAP/fibroid-solutions.netlify.app/img/test.webp	(from https://fibroid-solutions.netlify.app/?gad_source=1&gad_campaignid=22635596819&gclid=EAIaIQobChMI39eVjJjYjQMVzwUGAB3djB8aEAAYASAAEgJTIPD_BwE)
17:32:40	33508/33508	---M--	200	added ('OK')	image/webp	etag:%22add90a68a6e227c7e582c3113bf572bb-ssl%22	https://fibroid-solutions.netlify.app/img/testi.webp	C:/My%20Web%20Sites/FIBROCURE%20TAP/fibroid-solutions.netlify.app/img/testi.webp	(from https://fibroid-solutions.netlify.app/?gad_source=1&gad_campaignid=22635596819&gclid=EAIaIQobChMI39eVjJjYjQMVzwUGAB3djB8aEAAYASAAEgJTIPD_BwE)
17:32:41	48448/48448	---M--	200	added ('OK')	image/webp	etag:%22606bdafb0582d6cd2531b239a6dfec88-ssl%22	https://fibroid-solutions.netlify.app/img/testim.webp	C:/My%20Web%20Sites/FIBROCURE%20TAP/fibroid-solutions.netlify.app/img/testim.webp	(from https://fibroid-solutions.netlify.app/?gad_source=1&gad_campaignid=22635596819&gclid=EAIaIQobChMI39eVjJjYjQMVzwUGAB3djB8aEAAYASAAEgJTIPD_BwE)
